;timestamp;Signalname;interpreted_value
507;65377813255000.0;S-A;e
508;65378113712700.0;S-A;a
509;65380693420300.0;S-A;e
510;65380994042400.0;S-A;a
511;65387293779100.0;S-A;c
512;65387494281200.0;S-A;a
513;65420894030000.0;S-A;c
514;65421194012600.0;S-A;a
515;65425154076200.0;S-A;e
516;65425454089800.0;S-A;a
517;65437873537500.0;S-A;e
518;65438073547600.0;S-A;a
519;65463794934900.0;S-A;c
520;65463995114100.0;S-A;a
521;65482874608600.0;S-A;e
522;65483174573500.0;S-A;a
523;65532435944100.0;S-A;c
524;65532735957900.0;S-A;a
525;65545996438800.0;S-A;e
526;65546296242500.0;S-A;a
527;65574616368700.0;S-A;c
528;65574916339300.0;S-A;a
529;65598086271200.0;S-A;c
530;65598386237000.0;S-A;a
531;65616687163400.0;S-A;e
532;65616987757400.0;S-A;a
533;65632468014000.0;S-A;e
534;65632767530300.0;S-A;a
535;65658507836800.0;S-A;c
536;65658807065900.0;S-A;a
537;65698348349500.0;S-A;e
538;65698648377300.0;S-A;a
539;65725408570100.0;S-A;c
540;65725708582000.0;S-A;a
541;65744488311200.0;S-A;e
542;65744789282000.0;S-A;a
543;65811570081700.0;S-A;c
544;65811870073200.0;S-A;a
545;65875530868400.0;S-A;c
546;65875730862800.0;S-A;a
547;65884711376100.0;S-A;e
548;65885011301500.0;S-A;a
549;65904571884900.0;S-A;e
550;65904871868300.0;S-A;a
551;65962302650600.0;S-A;e
552;65962602272800.0;S-A;a
553;66119505136100.0;S-A;c
554;66119805198800.0;S-A;a
555;66238547646400.0;S-A;a
556;66239146935700.0;S-A;a
557;66256607685600.0;S-A;e
558;66256907733200.0;S-A;a
559;66283257905200.0;S-A;e
560;66283557922000.0;S-A;a
561;66327058751500.0;S-A;c
562;66327258631300.0;S-A;a
563;66352799873600.0;S-A;e
564;66352999841400.0;S-A;a
565;66382380191000.0;S-A;c
566;66382579820800.0;S-A;a
567;66395039701200.0;S-A;e
568;66395540661100.0;S-A;a
569;66429559998200.0;S-A;c
570;66429860124000.0;S-A;a
571;66447240818700.0;S-A;e
572;66447440772400.0;S-A;a
573;66482401977700.0;S-A;c
574;66482701617700.0;S-A;a
575;66486961408800.0;S-A;c
576;66487261452800.0;S-A;a
577;66499981546400.0;S-A;e
578;66500282153200.0;S-A;a
579;66503342088000.0;S-A;e
580;66503642079600.0;S-A;a
581;66515282046200.0;S-A;c
582;66515681973600.0;S-A;a
583;66520921961200.0;S-A;c
584;66521122265300.0;S-A;a
585;66536102908100.0;S-A;e
586;66536303143200.0;S-A;a
587;66541022052800.0;S-A;e
